,gene_group,B,C,D,E,F,L,A,,Basal,index_all
3457,"phoA,hprK,fhuA_2~~~fhuA_1,qoxB,murC,group",0.176136364,0,0,0,0.186885246,0,0.021024417,0.384046026,0.962462462,0.593935086
3493,"phoA,hprK,fhuA_2~~~fhuA_1,trkA,murC,group",0.176136364,0,0,0,0.186885246,0,0.021024417,0.384046026,0.963963964,0.593940596
3018,"phoA,hprK,cysS,carB,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.076419427,0.384212522,0.966966967,0.615956761
4178,"phoA,hprK,mntB,polC,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.015775293,0.384224125,0.962462462,0.592552189
3136,"phoA,hprK,polC,aroA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.015775293,0.384224125,0.953453453,0.592519132
3176,"phoA,hprK,polC,plsY,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.015775293,0.384224125,0.938438438,0.592464036
1532,"phoA,clpB,carB,scrB,atpB_2,group",0.060606061,0.119318182,0,0,0.158469945,0,0.046934986,0.385329174,0.945945946,0.604524443
4458,"phoA,hprK,mntC,rnc,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.157923497,0,0.015789253,0.385833963,0.962462462,0.592194068
4478,"phoA,hprK,mntC,typA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.157923497,0,0.015789253,0.385833963,0.962462462,0.592194068
4279,"phoA,hprK,mntB,carB,thiI,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.015789253,0.386380411,0.965465465,0.591505375
3440,"phoA,hprK,mntC,plsY,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.015789253,0.386380411,0.962462462,0.592199578
1543,"phoA,hprK,carB,plsY,thiI,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.015789253,0.386380411,0.945945946,0.59143375
