,B,C,D,E,F,L,A,,Basal,index_all
"phoA,hprK,mntB,typA,group",0.060606061,0,0,0,0.217486339,0,0.010540129,0.288632529,0.960960961,0.589709261
"phoA,hprK,rnc,plsY,group",0.060606061,0,0,0,0.217486339,0,0.010540129,0.288632529,0.936936937,0.589621108
"phoA,hprK,typA,plsY,group",0.060606061,0,0,0,0.217486339,0,0.010540129,0.288632529,0.936936937,0.589621108
"phoA,hprK,mfd,plsY,group",0.060606061,0,0,0,0.218032787,0,0.010540129,0.289178977,0.962462462,0.58972028
"phoA,hprK,mntB,plsY,group",0.060606061,0,0,0,0.218032787,0,0.010540129,0.289178977,0.960960961,0.589714771
"phoA,hprK,mnh_A1,carB,group",0.060606061,0,0,0.090909091,0.127868852,0,0.010540129,0.289924133,0.965465465,0.588937924
"phoA,hprK,mntB,murD,group",0.060606061,0,0,0,0.18852459,0,0.041769625,0.290900276,0.960960961,0.601775177
"phoA,hprK,murD,plsY,group",0.060606061,0,0,0,0.18852459,0,0.041769625,0.290900276,0.936936937,0.601687024
"phoA,hprK,pknB,atpB_2,group",0.060606061,0.060606061,0,0,0.158469945,0,0.015789253,0.29547132,0.938438438,0.591995725
"phoA,hprK,mfd,ctaA,group",0.060606061,0,0,0,0.218032787,0,0.021010456,0.299649304,0.953453453,0.593830405
"phoA,hprK,mntB,pknB,group",0.060606061,0,0,0,0.218032787,0,0.021024417,0.299663264,0.960960961,0.593863462
"phoA,hprK,pknB,plsY,group",0.060606061,0,0,0,0.218032787,0,0.021024417,0.299663264,0.936936937,0.593775309
"pmi,hprK,carB,atpB_2,group",0.060606061,0.119318182,0,0,0.096721311,0,0.026217699,0.302863253,0.938438438,0.597907473
"phoA,hprK,fhuA_2~~~fhuA_1,ctaA,group",0.060606061,0,0,0,0.216393443,0,0.026231659,0.303231163,0.960960961,0.595907506
"phoA,hprK,ctaA,aroA,group",0.060606061,0,0,0,0.218032787,0,0.026231659,0.304870507,0.953453453,0.595896487
"phoA,hprK,ctaA,obgE,group",0.060606061,0,0,0,0.218032787,0,0.026231659,0.304870507,0.938438438,0.595841391
"phoA,hprK,carB,ctrA,group",0.060606061,0.060606061,0,0,0.187978142,0,0,0.309190263,0.947447447,0.586078467
"phoA,clpB,mfd,carB,group",0,0.060606061,0,0,0.218032787,0,0.031410981,0.310049829,0.963963964,0.597968078
"phoA,clpB,carB,aroA,group",0,0.060606061,0,0,0.218032787,0,0.031410981,0.310049829,0.941441441,0.597885434
"phoA,clpB,carB,obgE,group",0,0.060606061,0,0,0.218032787,0,0.031410981,0.310049829,0.926426426,0.597830339
"phoA,hprK,mnh_A1,ctaA,group",0.060606061,0,0,0.090909091,0.127868852,0,0.031438902,0.310822906,0.960960961,0.597191231
"phoA,hprK,mntC,ctaA,group",0.060606061,0,0,0.090909091,0.127868852,0,0.031438902,0.310822906,0.960960961,0.597191231
"pmi,hprK,mntB,carB,group",0.060606061,0.060606061,0,0,0.158469945,0,0.031424942,0.311107008,0.959459459,0.599786229
"pmi,hprK,carB,plsY,group",0.060606061,0.060606061,0,0,0.158469945,0,0.031424942,0.311107008,0.936936937,0.599703586
"phoA,hprK,murD,gatA,group",0.060606061,0.060606061,0,0,0.127868852,0,0.062263545,0.311344519,0.936936937,0.609367338
"phoA,hprK,carB,murC,group",0.119318182,0,0,0,0.186885246,0,0.005277045,0.311480473,0.947447447,0.587461364
"phoA,hprK,carB,secF,group",0.119318182,0.060606061,0,0,0.127868852,0,0.005277045,0.31307014,0.947447447,0.587048148
"phoA,hprK,pnpA,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.005277045,0.31307014,0.942942943,0.587714804
"phoA,hprK,pycA,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.005277045,0.31307014,0.938438438,0.587698275
"phoA,hprK,recG,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.005277045,0.31307014,0.938438438,0.587698275
"phoA,hprK,carB,tdk,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.005277045,0.314119568,0.947447447,0.587362192
"phoA,clpB,pknB,atpB_2,group",0,0.119318182,0,0,0.158469945,0,0.036604264,0.314392391,0.926426426,0.600188427
"phoA,hprK,mfd,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.005277045,0.315013756,0.963963964,0.588232701
"phoA,hprK,aroA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.005277045,0.315013756,0.953453453,0.588194135
"phoA,hprK,obgE,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.005277045,0.315013756,0.938438438,0.588139039
"phoA,hprK,mfd,murD,group",0.060606061,0,0,0,0.218032787,0,0.036590303,0.315229151,0.962462462,0.60002865
"phoA,hprK,pitA,murD,group",0.060606061,0,0,0.090909091,0.127868852,0,0.036590303,0.315974307,0.954954955,0.599207727
"phoA,clpB,mntC,carB,group",0,0.060606061,0,0.090909091,0.127868852,0,0.036604264,0.315988267,0.954954955,0.599196707
"phoA,hprK,carB,murZ,group",0.060606061,0.060606061,0,0,0.158469945,0,0.036436738,0.316118805,0.947447447,0.600199446
"phoA,hprK,mfd,rnc,group",0.060606061,0,0,0,0.246448087,0,0.010540129,0.317594277,0.962462462,0.590006777
"phoA,hprK,mfd,typA,group",0.060606061,0,0,0,0.246448087,0,0.010540129,0.317594277,0.962462462,0.590006777
"phoA,hprK,rnc,aroA,group",0.060606061,0,0,0,0.246448087,0,0.010540129,0.317594277,0.953453453,0.589973719
"phoA,hprK,typA,aroA,group",0.060606061,0,0,0,0.246448087,0,0.010540129,0.317594277,0.953453453,0.589973719
"phoA,hprK,rnc,obgE,group",0.060606061,0,0,0,0.246448087,0,0.010540129,0.317594277,0.938438438,0.589918624
"phoA,hprK,typA,obgE,group",0.060606061,0,0,0,0.246448087,0,0.010540129,0.317594277,0.938438438,0.589918624
"phoA,hprK,mntB,aroA,group",0.060606061,0,0,0,0.246994536,0,0.010540129,0.318140725,0.968468468,0.590034325
"phoA,hprK,mntB,obgE,group",0.060606061,0,0,0,0.246994536,0,0.010540129,0.318140725,0.962462462,0.590012286
"phoA,hprK,plsY,obgE,group",0.060606061,0,0,0,0.246994536,0,0.010540129,0.318140725,0.938438438,0.589924133
"phoA,hprK,polC,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.010526169,0.318319264,0.938438438,0.589775376
"phoA,hprK,mfd,trkA,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.962462462,0.589615599
"phoA,hprK,mntB,pnpA,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.965465465,0.589626618
"phoA,hprK,mntB,pycA,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.951951952,0.589577032
"phoA,hprK,pnpA,plsY,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.941441441,0.589538465
"phoA,hprK,pycA,plsY,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.936936937,0.589521936
"phoA,hprK,trkA,aroA,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.957957958,0.58959907
"phoA,hprK,carB,alaS,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.947447447,0.589560503
"phoA,hprK,trkA,obgE,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.942942943,0.589543974
"phoA,hprK,fhuA_2~~~fhuA_1,atpB_2,group",0.060606061,0.060606061,0,0,0.186885246,0,0.010540129,0.318637496,0.962462462,0.590293273
"phoA,hprK,fhuA_2~~~fhuA_1,murD,group",0.060606061,0,0,0,0.216393443,0,0.041769625,0.318769128,0.960960961,0.602056164
"phoA,hprK,mntC,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.010540129,0.319382653,0.956456456,0.58947786
"phoA,hprK,carB,thiI,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.010540129,0.319382653,0.945945946,0.588734071
"phoA,hprK,murD,aroA,group",0.060606061,0,0,0,0.218032787,0,0.041769625,0.320408472,0.953453453,0.602045145
"phoA,hprK,murD,obgE,group",0.060606061,0,0,0,0.218032787,0,0.041769625,0.320408472,0.938438438,0.60199005
"phoA,clpB,mntB,pknB,group",0,0.060606061,0,0,0.218032787,0,0.041783585,0.320422433,0.954954955,0.602039636
"phoA,clpB,pknB,plsY,group",0,0.060606061,0,0,0.218032787,0,0.041783585,0.320422433,0.936936937,0.601973521
"phoA,hprK,fhuA_2~~~fhuA_1,rnc,group",0.060606061,0,0,0,0.244808743,0,0.015789253,0.321204057,0.960960961,0.592061839
"phoA,hprK,fhuA_2~~~fhuA_1,typA,group",0.060606061,0,0,0,0.244808743,0,0.015789253,0.321204057,0.960960961,0.592061839
"phoA,hprK,fhuA_2~~~fhuA_1,plsY,group",0.060606061,0,0,0,0.245355191,0,0.015789253,0.321750505,0.960960961,0.592067349
"phoA,hprK,fhuA_2~~~fhuA_1,qoxB,group",0.119318182,0,0,0,0.186885246,0,0.015789253,0.321992681,0.960960961,0.591670661
"phoA,hprK,fhuA_2~~~fhuA_1,trkA,group",0.119318182,0,0,0,0.186885246,0,0.015789253,0.321992681,0.962462462,0.591676171
"phoA,hprK,fhuA_2~~~fhuA_1,murC,group",0.119318182,0,0,0,0.186885246,0,0.015789253,0.321992681,0.962462462,0.591676171
"phoA,hprK,mntC,trkA,group",0.119318182,0,0,0.090909091,0.096721311,0,0.015789253,0.322737837,0.962462462,0.590882795
"phoA,hprK,fhuA_2~~~fhuA_1,obgE,group",0.060606061,0,0,0,0.246448087,0,0.015789253,0.322843401,0.962462462,0.592083877
"phoA,hprK,cysS,carB,group",0.119318182,0,0,0,0.127868852,0,0.076419427,0.323606462,0.965465465,0.615086252
"phoA,hprK,mntB,polC,group",0.119318182,0,0,0,0.18852459,0,0.015775293,0.323618065,0.960960961,0.59168168
"phoA,hprK,polC,aroA,group",0.119318182,0,0,0,0.18852459,0,0.015775293,0.323618065,0.953453453,0.591654132
"phoA,hprK,polC,plsY,group",0.119318182,0,0,0,0.18852459,0,0.015775293,0.323618065,0.936936937,0.591593527
"phoA,clpB,ctaA,atpB_2,group",0,0.119318182,0,0,0.158469945,0,0.046934986,0.324723113,0.915915916,0.604237946
"phoA,hprK,mntC,rnc,group",0.060606061,0,0,0.090909091,0.157923497,0,0.015789253,0.325227902,0.960960961,0.591301521
"phoA,hprK,mntC,typA,group",0.060606061,0,0,0.090909091,0.157923497,0,0.015789253,0.325227902,0.960960961,0.591301521
"phoA,hprK,mntC,plsY,group",0.060606061,0,0,0.090909091,0.158469945,0,0.015789253,0.32577435,0.960960961,0.591307031
"phoA,hprK,mntC,murD,group",0.060606061,0,0,0.090909091,0.127868852,0,0.046934986,0.32631899,0.960960961,0.603323361
"phoA,hprK,ctaA,gatA,group",0.060606061,0.060606061,0,0,0.158469945,0,0.046893105,0.326575172,0.927927928,0.603560272
"phoA,hprK,mfd,pknB,group",0.060606061,0,0,0,0.246994536,0,0.021024417,0.328625013,0.962462462,0.594160978
"phoA,hprK,pknB,aroA,group",0.060606061,0,0,0,0.246994536,0,0.021024417,0.328625013,0.953453453,0.594127921
"phoA,hprK,pknB,obgE,group",0.060606061,0,0,0,0.246994536,0,0.021024417,0.328625013,0.938438438,0.594072825
"phoA,hprK,carB,scrB,group",0.119318182,0.060606061,0,0,0.127868852,0,0.021010456,0.328803551,0.962462462,0.593329036
"phoA,hprK,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.021010456,0.328803551,0.957957958,0.593995692
"phoA,clpB,carB,gatA,group",0,0.119318182,0,0,0.158469945,0,0.052016585,0.329804712,0.924924925,0.605554729
"phoA,clpB,gatA,atpB_2,group",0,0.119318182,0,0,0.158469945,0,0.052016585,0.329804712,0.915915916,0.606248933
